City_ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,East London,ZA,-33.02,27.91,60.8,93,0,9.17,clear sky
215,Ukiah,US,39.15,-123.21,64.4,25,1,2.51,clear sky
216,Batticaloa,LK,7.71,81.69,84.24,61,0,5.88,clear sky
217,Thinadhoo,MV,0.53,72.93,84.43,65,44,11.45,scattered clouds
218,Taihe,CN,30.87,105.38,59.92,68,99,6.38,overcast clouds
219,Chabahar,IR,25.29,60.64,60.8,72,0,4.7,clear sky
220,Lata,PT,40.16,-8.33,62.01,94,100,1.01,overcast clouds
221,Xining,CN,36.62,101.77,41.22,64,0,1.88,clear sky
222,Tilichiki,RU,60.47,166.1,26.29,88,5,8.97,clear sky
223,Fenoarivo,MG,-18.93,47.44,62.6,88,20,5.82,few clouds
224,Nelson Bay,AU,-32.72,152.15,62.6,88,75,12.75,light intensity shower rain
225,Bac Lieu,VN,9.29,105.72,85.73,72,100,17.87,overcast clouds
226,Songjianghe,CN,42.19,127.48,40.06,56,0,10.49,clear sky
227,College,US,64.86,-147.8,28.4,92,90,4.7,light snow
228,Camacha,PT,33.08,-16.33,64.4,77,40,5.82,scattered clouds
229,Torbay,CA,47.67,-52.73,39.0,100,90,8.05,light rain
230,Cururupu,BR,-1.83,-44.87,74.89,93,41,3.18,scattered clouds
231,Tiksi,RU,71.69,128.87,-2.81,90,1,13.78,clear sky
232,Sao Desiderio,BR,-12.36,-44.97,71.01,87,75,0.87,light rain
233,Marawi,PH,8.0,124.29,82.99,77,29,1.99,scattered clouds
234,Catalina,US,32.51,-110.92,50.0,58,0,1.01,clear sky
235,Port Hardy,CA,50.7,-127.42,46.4,100,90,6.93,light rain
236,Imeni Poliny Osipenko,RU,52.42,136.49,39.07,72,98,6.13,overcast clouds
237,San Juan,AR,-31.54,-68.54,67.37,26,44,6.93,scattered clouds
238,Aitape,PG,-3.14,142.35,83.23,76,84,4.5,moderate rain
239,Makakilo City,US,21.35,-158.09,80.6,74,75,3.8,broken clouds
240,Kloulklubed,PW,7.04,134.26,80.6,88,90,6.93,light intensity shower rain
241,Smithers,CA,54.78,-127.17,33.8,100,75,2.46,mist
242,Hami,CN,42.8,93.45,56.91,30,0,7.78,clear sky
243,Hay River,CA,60.82,-115.8,19.4,79,75,10.29,light snow
244,Hit,IQ,33.64,42.83,68.14,24,0,7.11,clear sky
245,Mombetsu,JP,44.35,143.35,55.4,58,75,4.7,broken clouds
246,Tanout,NE,14.97,8.89,74.35,19,1,8.23,clear sky
247,Asau,RO,46.43,26.4,50.0,98,89,1.43,overcast clouds
248,Walvis Bay,NA,-22.96,14.51,57.2,87,0,6.93,clear sky
249,Bethel,US,41.37,-73.41,50.0,61,90,3.36,overcast clouds
250,Muncar,ID,-8.43,114.33,85.91,64,83,7.81,broken clouds
251,Mandeville,JM,18.04,-77.51,82.4,83,40,1.12,scattered clouds
252,Aljezur,PT,37.32,-8.8,57.94,80,59,1.5,broken clouds
253,Matay,EG,28.42,30.78,65.59,82,1,10.98,clear sky
254,Vardo,NO,70.37,31.11,37.4,93,75,14.99,light intensity drizzle
255,Khromtau,KZ,50.25,58.43,29.91,90,19,4.68,few clouds
256,Westport,US,41.14,-73.36,53.6,58,90,5.82,overcast clouds
257,Kodiak,US,57.79,-152.41,42.8,56,90,6.96,overcast clouds
258,Constitucion,CL,-35.33,-72.42,48.81,83,19,2.89,few clouds
259,Lompoc,US,34.64,-120.46,55.4,82,1,3.36,clear sky
260,Coracora,PE,-15.03,-73.78,49.89,72,34,0.69,scattered clouds
261,Matagami,CA,49.75,-77.63,26.6,92,90,11.41,overcast clouds
262,Ahuimanu,US,21.44,-157.84,80.6,74,40,1.7,scattered clouds
263,Karlstad,SE,59.38,13.5,46.4,100,61,13.87,broken clouds
264,Camana,PE,-16.62,-72.71,62.4,78,60,6.38,broken clouds
265,Fort Nelson,CA,58.81,-122.7,21.2,92,40,1.12,scattered clouds
266,Sungaipenuh,ID,-2.08,101.38,78.66,57,87,3.24,overcast clouds
267,Port Maria,JM,18.37,-76.89,75.99,95,75,11.99,broken clouds
268,Okha,RU,53.57,142.95,41.67,75,95,4.85,overcast clouds
269,Puerto Ayacucho,VE,5.66,-67.62,75.97,90,100,3.53,overcast clouds
270,Kavieng,PG,-2.57,150.8,85.05,66,58,5.5,broken clouds
271,Colesberg,ZA,-30.72,25.1,63.18,45,0,3.96,clear sky
272,Kwinana,AU,-32.25,115.77,73.99,56,75,14.99,broken clouds
273,Fortuna,US,40.6,-124.16,48.2,87,1,8.05,clear sky
274,Raymond,US,43.9,-70.47,39.99,61,97,1.07,overcast clouds
275,Samus,RU,56.75,84.7,37.0,82,52,13.87,broken clouds
276,Clyde River,CA,70.47,-68.59,14.0,61,1,6.93,clear sky
277,Grootfontein,NA,-19.57,18.12,66.83,31,81,8.77,broken clouds
278,Beyla,GN,8.68,-8.63,67.19,75,52,1.77,broken clouds
279,Neiafu,TO,-18.65,-173.98,78.8,69,75,11.41,broken clouds
280,Pemangkat,ID,1.17,108.97,85.8,66,76,8.5,broken clouds
281,Vao,NC,-22.67,167.48,73.18,82,67,19.06,broken clouds
282,Sept-Iles,CA,50.2,-66.38,23.0,85,20,4.7,few clouds
283,Bathsheba,BB,13.22,-59.52,80.6,83,40,17.22,shower rain
284,Sosva,RU,59.18,61.86,28.96,97,100,6.55,overcast clouds
285,Onokhoy,RU,51.93,108.07,30.2,46,0,4.47,clear sky
286,Arrecife,ES,28.96,-13.55,69.8,64,90,10.29,overcast clouds
287,Huejuquilla El Alto,MX,22.6,-103.87,58.51,90,99,3.74,overcast clouds
288,Vaitape,PF,-16.52,-151.75,80.6,80,99,18.14,light rain
289,Saurimo,AO,-9.66,20.39,66.45,94,100,3.62,overcast clouds
290,Severo-Yeniseyskiy,RU,60.37,93.04,23.4,98,100,11.7,snow
291,Prince Rupert,CA,54.32,-130.32,44.6,100,90,1.3,overcast clouds
292,Bereznik,RU,62.86,42.71,43.77,92,100,8.37,overcast clouds
293,Kamaishi,JP,39.27,141.88,57.2,50,40,3.36,scattered clouds
294,Huangmei,CN,30.19,116.03,71.35,59,45,10.96,scattered clouds
295,La Ronge,CA,55.1,-105.28,28.4,86,90,9.17,light snow
296,Iqaluit,CA,63.75,-68.51,21.2,62,90,5.82,light snow
297,Saint Anthony,US,45.02,-93.22,33.8,91,90,11.41,overcast clouds
298,Laranjeiras Do Sul,BR,-25.41,-52.42,53.62,84,0,0.74,clear sky
299,Isangel,VU,-19.55,169.27,78.62,69,13,16.98,few clouds
300,Rio Gallegos,AR,-51.62,-69.22,48.2,36,20,21.92,few clouds
301,Katsuura,JP,35.13,140.3,70.0,68,75,3.36,broken clouds
302,Ayr,GB,55.46,-4.63,48.0,81,40,11.41,scattered clouds
303,Koraput,IN,18.82,82.72,75.33,52,13,7.61,few clouds
304,Ojinaga,MX,29.57,-104.42,37.4,55,1,5.82,clear sky
305,Faanui,PF,-16.48,-151.75,79.75,81,100,18.12,light rain
306,Anito,PH,12.45,125.29,86.22,70,25,5.32,scattered clouds
307,Port-Gentil,GA,-0.72,8.78,77.81,85,100,9.04,light rain
308,Kuusamo,FI,65.97,29.18,39.2,100,90,6.93,overcast clouds
309,Provideniya,RU,64.38,-173.3,32.0,96,75,15.66,light snow
310,Grand-Santi,GF,4.25,-54.38,73.92,93,100,2.53,overcast clouds
311,Gandu,BR,-13.74,-39.49,70.97,96,100,2.04,overcast clouds
312,Aklavik,CA,68.22,-135.01,10.4,85,90,2.24,light snow
313,Smolenka,RU,52.14,113.5,30.2,46,13,4.47,few clouds
314,Saint-Michel-Des-Saints,CA,46.68,-73.92,20.52,95,56,2.37,broken clouds
315,Kathmandu,NP,27.72,85.32,68.0,72,20,1.54,few clouds
316,Sal Rei,CV,16.18,-22.92,78.8,88,0,14.99,clear sky
317,Skovorodino,RU,53.98,123.92,26.38,91,86,8.25,overcast clouds
318,San Vicente,AR,-26.62,-54.13,55.54,77,0,0.76,clear sky
319,Voh,NC,-20.97,164.7,83.7,51,91,6.53,overcast clouds
320,Taoudenni,ML,22.68,-3.98,74.46,21,0,1.97,clear sky
321,Eureka,US,40.8,-124.16,50.0,81,1,2.48,clear sky
322,Andra,RU,62.51,65.89,18.25,97,100,5.06,overcast clouds
323,Shahr-E Babak,IR,30.12,55.12,54.48,35,0,5.68,clear sky
324,Alihe,CN,50.57,123.72,32.81,81,0,10.4,clear sky
325,Kumo,NG,10.04,11.21,71.64,38,3,2.39,clear sky
326,Matucana,PE,-11.85,-76.4,59.0,51,99,1.14,overcast clouds
327,Suluq,LY,31.67,20.25,69.01,68,71,9.42,broken clouds
328,Havre-Saint-Pierre,CA,50.23,-63.6,24.8,73,1,3.36,clear sky
329,Samarai,PG,-10.62,150.67,83.35,77,3,9.28,clear sky
330,Hihya,EG,30.67,31.59,69.8,77,40,6.93,haze
331,Salvador,SV,13.83,-88.92,77.0,94,40,2.24,scattered clouds
