City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
266,Marawi,PH,2020-10-26 23:22:37,8.0,124.29,77.0,85,100,5.01
267,Pisco,PE,2020-10-26 23:22:38,-13.7,-76.22,68.0,68,0,18.34
268,Nanortalik,GL,2020-10-26 23:22:38,60.14,-45.24,33.46,91,94,13.51
269,Hobyo,SO,2020-10-26 23:22:38,5.35,48.53,78.8,80,45,3.67
270,Tromso,NO,2020-10-26 23:17:44,69.65,18.96,41.0,74,0,25.28
271,San Cristobal,VE,2020-10-26 23:22:39,7.77,-72.22,69.71,86,50,1.88
272,Itarema,BR,2020-10-26 23:22:39,-2.92,-39.92,78.73,82,0,14.09
273,Lafia,NG,2020-10-26 23:22:39,8.48,8.52,76.68,76,12,2.53
274,Manokwari,ID,2020-10-26 23:22:39,-0.87,134.08,83.23,68,0,4.63
275,Tasiilaq,GL,2020-10-26 23:20:48,65.61,-37.64,33.8,47,100,20.8
276,Ossora,RU,2020-10-26 23:22:40,59.24,163.07,38.71,93,100,11.74
277,Qaqortoq,GL,2020-10-26 23:22:40,60.72,-46.03,41.0,27,97,14.99
278,Guerrero Negro,MX,2020-10-26 23:22:40,27.98,-114.06,73.78,35,1,23.38
279,Nyurba,RU,2020-10-26 23:22:41,63.28,118.33,12.92,86,98,2.71
280,Oussouye,SN,2020-10-26 23:22:41,12.48,-16.55,84.2,89,0,2.24
281,Ginir,ET,2020-10-26 23:22:41,7.13,40.7,55.67,86,91,3.29
282,Lisakovsk,KZ,2020-10-26 23:22:41,52.54,62.49,28.8,97,100,26.17
283,Dunedin,NZ,2020-10-26 23:22:41,-45.87,170.5,54.0,68,82,7.0
284,Massakory,TD,2020-10-26 23:22:42,13.0,15.73,82.51,18,1,11.36
285,Razole,IN,2020-10-26 23:22:42,16.48,81.83,74.19,91,3,3.58
286,Alexandria,EG,2020-10-26 23:22:08,31.22,29.96,75.2,73,40,9.17
287,Souillac,MU,2020-10-26 23:22:42,-20.52,57.52,71.6,83,40,6.93
288,Saint-Philippe,RE,2020-10-26 23:22:43,-21.36,55.77,71.6,78,48,3.36
